vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.1_0.125	8.0_64.0	1.5	1.0	29	3743	6018	15	13	2	0.659	0.617	0.617	0.276	0.008	0.659	0.016	0.992
0.25	4.0_64.0	1.5	1.0	44	940	3619	22	19	3	0.667	0.794	0.792	0.461	0.045	0.667	0.084	0.955
0.25	8.0_64.0	1.5	1.0	33	509	2103	11	9	2	0.75	0.805	0.804	0.555	0.061	0.75	0.113	0.939
0.375	4.0_64.0	1.5	1.0	40	71	367	14	11	3	0.741	0.838	0.827	0.579	0.36	0.741	0.485	0.64
0.375	8.0_64.0	1.5	1.0	28	27	220	8	7	1	0.778	0.891	0.876	0.669	0.509	0.778	0.615	0.491
0.5	4.0_64.0	1.5	1.0	66	118	704	12	11	1	0.846	0.856	0.856	0.702	0.359	0.846	0.504	0.641
0.5	8.0_64.0	1.5	1.0	46	62	385	6	6	0	0.885	0.861	0.864	0.746	0.426	0.885	0.575	0.574
0.7_0.75	4.0_64.0	1.5	1.0	56	45	239	10	9	1	0.848	0.842	0.843	0.69	0.554	0.848	0.67	0.446
0.7_0.75	8.0_64.0	1.5	1.0	38	25	129	6	6	0	0.864	0.838	0.843	0.702	0.603	0.864	0.71	0.397
1.0	4.0_64.0	1.5	1.0	55	37	129	11	9	2	0.833	0.777	0.793	0.61	0.598	0.833	0.696	0.402
1.0	8.0_64.0	1.5	1.0	36	21	72	8	6	2	0.818	0.774	0.788	0.592	0.632	0.818	0.713	0.368
0.1_0.125	4.0_64.0	1.6	0.0	41	9364	5772	25	25	0	0.621	0.381	0.382	0.002	0.004	0.621	0.008	0.996
0.1_0.125	8.0_64.0	1.6	0.0	31	5991	3770	13	13	0	0.705	0.386	0.388	0.091	0.005	0.705	0.01	0.995
0.25	4.0_64.0	1.6	0.0	47	2231	2328	19	19	0	0.712	0.511	0.514	0.223	0.021	0.712	0.041	0.979
0.25	8.0_64.0	1.6	0.0	35	1308	1304	9	9	0	0.795	0.499	0.504	0.294	0.026	0.795	0.05	0.974
0.375	4.0_64.0	1.6	0.0	42	238	200	12	11	1	0.778	0.457	0.492	0.235	0.15	0.778	0.252	0.85
0.375	8.0_64.0	1.6	0.0	29	116	131	7	7	0	0.806	0.53	0.565	0.336	0.2	0.806	0.32	0.8
0.5	4.0_64.0	1.6	0.0	67	451	371	11	11	0	0.859	0.451	0.487	0.31	0.129	0.859	0.224	0.871
0.5	8.0_64.0	1.6	0.0	46	227	220	6	6	0	0.885	0.492	0.533	0.377	0.168	0.885	0.282	0.832
0.7_0.75	4.0_64.0	1.6	0.0	57	145	139	9	9	0	0.864	0.489	0.56	0.353	0.282	0.864	0.425	0.718
0.7_0.75	8.0_64.0	1.6	0.0	38	78	76	6	6	0	0.864	0.494	0.576	0.358	0.328	0.864	0.475	0.672
1.0	4.0_64.0	1.6	0.0	57	87	79	9	9	0	0.864	0.476	0.586	0.34	0.396	0.864	0.543	0.604
1.0	8.0_64.0	1.6	0.0	38	46	47	6	6	0	0.864	0.505	0.62	0.369	0.452	0.864	0.594	0.548
0.1_0.125	4.0_64.0	1.6	0.1	41	9146	5990	25	25	0	0.621	0.396	0.397	0.017	0.004	0.621	0.008	0.996
0.1_0.125	8.0_64.0	1.6	0.1	31	5856	3905	13	13	0	0.705	0.4	0.401	0.105	0.005	0.705	0.01	0.995
0.25	4.0_64.0	1.6	0.1	47	2137	2422	19	19	0	0.712	0.531	0.534	0.243	0.022	0.712	0.043	0.978
0.25	8.0_64.0	1.6	0.1	35	1255	1357	9	9	0	0.795	0.52	0.524	0.315	0.027	0.795	0.052	0.973
0.375	4.0_64.0	1.6	0.1	42	227	211	12	11	1	0.778	0.482	0.514	0.26	0.156	0.778	0.26	0.844
0.375	8.0_64.0	1.6	0.1	29	110	137	7	7	0	0.806	0.555	0.587	0.361	0.209	0.806	0.332	0.791
0.5	4.0_64.0	1.6	0.1	67	418	404	11	11	0	0.859	0.491	0.523	0.35	0.138	0.859	0.238	0.862
0.5	8.0_64.0	1.6	0.1	46	221	226	6	6	0	0.885	0.506	0.545	0.391	0.172	0.885	0.288	0.828
0.7_0.75	4.0_64.0	1.6	0.1	57	142	142	9	9	0	0.864	0.5	0.569	0.364	0.286	0.864	0.43	0.714
0.7_0.75	8.0_64.0	1.6	0.1	38	77	77	6	6	0	0.864	0.5	0.581	0.364	0.33	0.864	0.478	0.67
1.0	4.0_64.0	1.6	0.1	57	87	79	9	9	0	0.864	0.476	0.586	0.34	0.396	0.864	0.543	0.604
1.0	8.0_64.0	1.6	0.1	38	46	47	6	6	0	0.864	0.505	0.62	0.369	0.452	0.864	0.594	0.548
0.1_0.125	4.0_64.0	1.6	0.2	40	8911	6225	26	25	1	0.606	0.411	0.412	0.017	0.004	0.606	0.008	0.996
0.1_0.125	8.0_64.0	1.6	0.2	30	5709	4052	14	13	1	0.682	0.415	0.416	0.097	0.005	0.682	0.01	0.995
0.25	4.0_64.0	1.6	0.2	47	2034	2525	19	19	0	0.712	0.554	0.556	0.266	0.023	0.712	0.045	0.977
0.25	8.0_64.0	1.6	0.2	35	1194	1418	9	9	0	0.795	0.543	0.547	0.338	0.028	0.795	0.054	0.972
0.375	4.0_64.0	1.6	0.2	42	204	234	12	11	1	0.778	0.534	0.561	0.312	0.171	0.778	0.28	0.829
0.375	8.0_64.0	1.6	0.2	29	97	150	7	7	0	0.806	0.607	0.633	0.413	0.23	0.806	0.358	0.77
0.5	4.0_64.0	1.6	0.2	67	390	432	11	11	0	0.859	0.526	0.554	0.385	0.147	0.859	0.251	0.853
0.5	8.0_64.0	1.6	0.2	46	209	238	6	6	0	0.885	0.532	0.569	0.417	0.18	0.885	0.299	0.82
0.7_0.75	4.0_64.0	1.6	0.2	57	132	152	9	9	0	0.864	0.535	0.597	0.399	0.302	0.864	0.448	0.698
0.7_0.75	8.0_64.0	1.6	0.2	38	71	83	6	6	0	0.864	0.539	0.611	0.403	0.349	0.864	0.497	0.651
1.0	4.0_64.0	1.6	0.2	57	84	82	9	9	0	0.864	0.494	0.599	0.358	0.404	0.864	0.551	0.596
1.0	8.0_64.0	1.6	0.2	38	44	49	6	6	0	0.864	0.527	0.635	0.391	0.463	0.864	0.603	0.537
0.1_0.125	4.0_64.0	1.6	0.3	40	8585	6551	26	25	1	0.606	0.433	0.434	0.039	0.005	0.606	0.01	0.995
0.1_0.125	8.0_64.0	1.6	0.3	30	5493	4268	14	13	1	0.682	0.437	0.438	0.119	0.005	0.682	0.01	0.995
0.25	4.0_64.0	1.6	0.3	47	1909	2650	19	19	0	0.712	0.581	0.583	0.293	0.024	0.712	0.046	0.976
0.25	8.0_64.0	1.6	0.3	35	1112	1500	9	9	0	0.795	0.574	0.578	0.369	0.031	0.795	0.06	0.969
0.375	4.0_64.0	1.6	0.3	42	193	245	12	11	1	0.778	0.559	0.583	0.337	0.179	0.778	0.291	0.821
0.375	8.0_64.0	1.6	0.3	29	93	154	7	7	0	0.806	0.623	0.647	0.429	0.238	0.806	0.367	0.762
0.5	4.0_64.0	1.6	0.3	67	362	460	11	11	0	0.859	0.56	0.586	0.419	0.156	0.859	0.264	0.844
0.5	8.0_64.0	1.6	0.3	46	193	254	6	6	0	0.885	0.568	0.601	0.453	0.192	0.885	0.316	0.808
0.7_0.75	4.0_64.0	1.6	0.3	57	120	164	9	9	0	0.864	0.577	0.631	0.441	0.322	0.864	0.469	0.678
0.7_0.75	8.0_64.0	1.6	0.3	38	66	88	6	6	0	0.864	0.571	0.636	0.435	0.365	0.864	0.513	0.635
1.0	4.0_64.0	1.6	0.3	57	72	94	9	9	0	0.864	0.566	0.651	0.43	0.442	0.864	0.585	0.558
1.0	8.0_64.0	1.6	0.3	38	41	52	6	6	0	0.864	0.559	0.657	0.423	0.481	0.864	0.618	0.519
0.1_0.125	4.0_64.0	1.6	0.4	40	8318	6818	26	25	1	0.606	0.45	0.451	0.056	0.005	0.606	0.01	0.995
0.1_0.125	8.0_64.0	1.6	0.4	30	5321	4440	14	13	1	0.682	0.455	0.456	0.137	0.006	0.682	0.012	0.994
0.25	4.0_64.0	1.6	0.4	47	1806	2753	19	19	0	0.712	0.604	0.605	0.316	0.025	0.712	0.048	0.975
0.25	8.0_64.0	1.6	0.4	35	1043	1569	9	9	0	0.795	0.601	0.604	0.396	0.032	0.795	0.062	0.968
0.375	4.0_64.0	1.6	0.4	42	182	256	12	11	1	0.778	0.584	0.606	0.362	0.188	0.778	0.303	0.812
0.375	8.0_64.0	1.6	0.4	29	87	160	7	7	0	0.806	0.648	0.668	0.454	0.25	0.806	0.382	0.75
0.5	4.0_64.0	1.6	0.4	67	333	489	11	11	0	0.859	0.595	0.618	0.454	0.168	0.859	0.281	0.832
0.5	8.0_64.0	1.6	0.4	46	181	266	6	6	0	0.885	0.595	0.625	0.48	0.203	0.885	0.33	0.797
0.7_0.75	4.0_64.0	1.6	0.4	57	110	174	9	9	0	0.864	0.613	0.66	0.477	0.341	0.864	0.489	0.659
0.7_0.75	8.0_64.0	1.6	0.4	38	62	92	6	6	0	0.864	0.597	0.657	0.461	0.38	0.864	0.528	0.62
1.0	4.0_64.0	1.6	0.4	57	64	102	9	9	0	0.864	0.614	0.685	0.478	0.471	0.864	0.61	0.529
1.0	8.0_64.0	1.6	0.4	38	41	52	6	6	0	0.864	0.559	0.657	0.423	0.481	0.864	0.618	0.519
0.1_0.125	4.0_64.0	1.6	0.5	40	8068	7068	26	25	1	0.606	0.467	0.468	0.073	0.005	0.606	0.01	0.995
0.1_0.125	8.0_64.0	1.6	0.5	30	5154	4607	14	13	1	0.682	0.472	0.473	0.154	0.006	0.682	0.012	0.994
0.25	4.0_64.0	1.6	0.5	47	1695	2864	19	19	0	0.712	0.628	0.629	0.34	0.027	0.712	0.052	0.973
0.25	8.0_64.0	1.6	0.5	35	972	1640	9	9	0	0.795	0.628	0.631	0.423	0.035	0.795	0.067	0.965
0.375	4.0_64.0	1.6	0.5	42	169	269	12	11	1	0.778	0.614	0.632	0.392	0.199	0.778	0.317	0.801
0.375	8.0_64.0	1.6	0.5	29	79	168	7	7	0	0.806	0.68	0.696	0.486	0.269	0.806	0.403	0.731
0.5	4.0_64.0	1.6	0.5	67	304	518	11	11	0	0.859	0.63	0.65	0.489	0.181	0.859	0.299	0.819
0.5	8.0_64.0	1.6	0.5	46	164	283	6	6	0	0.885	0.633	0.659	0.518	0.219	0.885	0.351	0.781
0.7_0.75	4.0_64.0	1.6	0.5	57	97	187	9	9	0	0.864	0.658	0.697	0.522	0.37	0.864	0.518	0.63
0.7_0.75	8.0_64.0	1.6	0.5	38	58	96	6	6	0	0.864	0.623	0.677	0.487	0.396	0.864	0.543	0.604
1.0	4.0_64.0	1.6	0.5	57	59	107	9	9	0	0.864	0.645	0.707	0.509	0.491	0.864	0.626	0.509
1.0	8.0_64.0	1.6	0.5	38	39	54	6	6	0	0.864	0.581	0.672	0.445	0.494	0.864	0.629	0.506
0.1_0.125	4.0_64.0	1.6	0.6	40	7813	7323	26	25	1	0.606	0.484	0.484	0.09	0.005	0.606	0.01	0.995
0.1_0.125	8.0_64.0	1.6	0.6	30	4983	4778	14	13	1	0.682	0.489	0.49	0.171	0.006	0.682	0.012	0.994
0.25	4.0_64.0	1.6	0.6	47	1587	2972	19	19	0	0.712	0.652	0.653	0.364	0.029	0.712	0.056	0.971
0.25	8.0_64.0	1.6	0.6	35	903	1709	9	9	0	0.795	0.654	0.657	0.449	0.037	0.795	0.071	0.963
0.375	4.0_64.0	1.6	0.6	42	156	282	12	11	1	0.778	0.644	0.659	0.422	0.212	0.778	0.333	0.788
0.375	8.0_64.0	1.6	0.6	29	71	176	7	7	0	0.806	0.713	0.724	0.519	0.29	0.806	0.427	0.71
0.5	4.0_64.0	1.6	0.6	67	287	535	11	11	0	0.859	0.651	0.669	0.51	0.189	0.859	0.31	0.811
0.5	8.0_64.0	1.6	0.6	46	156	291	6	6	0	0.885	0.651	0.675	0.536	0.228	0.885	0.363	0.772
0.7_0.75	4.0_64.0	1.6	0.6	57	88	196	9	9	0	0.864	0.69	0.723	0.554	0.393	0.864	0.54	0.607
0.7_0.75	8.0_64.0	1.6	0.6	38	54	100	6	6	0	0.864	0.649	0.697	0.513	0.413	0.864	0.559	0.587
1.0	4.0_64.0	1.6	0.6	57	55	111	9	9	0	0.864	0.669	0.724	0.533	0.509	0.864	0.641	0.491
1.0	8.0_64.0	1.6	0.6	38	36	57	6	6	0	0.864	0.613	0.693	0.477	0.514	0.864	0.645	0.486
0.1_0.125	4.0_64.0	1.6	0.7	38	7518	7618	28	25	3	0.576	0.503	0.504	0.079	0.005	0.576	0.01	0.995
0.1_0.125	8.0_64.0	1.6	0.7	29	4791	4970	15	13	2	0.659	0.509	0.51	0.168	0.006	0.659	0.012	0.994
0.25	4.0_64.0	1.6	0.7	47	1508	3051	19	19	0	0.712	0.669	0.67	0.381	0.03	0.712	0.058	0.97
0.25	8.0_64.0	1.6	0.7	35	852	1760	9	9	0	0.795	0.674	0.676	0.469	0.039	0.795	0.074	0.961
0.375	4.0_64.0	1.6	0.7	42	141	297	12	11	1	0.778	0.678	0.689	0.456	0.23	0.778	0.355	0.77
0.375	8.0_64.0	1.6	0.7	29	62	185	7	7	0	0.806	0.749	0.756	0.555	0.319	0.806	0.457	0.681
0.5	4.0_64.0	1.6	0.7	66	266	556	12	11	1	0.846	0.676	0.691	0.522	0.199	0.846	0.322	0.801
0.5	8.0_64.0	1.6	0.7	46	143	304	6	6	0	0.885	0.68	0.701	0.565	0.243	0.885	0.381	0.757
0.7_0.75	4.0_64.0	1.6	0.7	57	81	203	9	9	0	0.864	0.715	0.743	0.579	0.413	0.864	0.559	0.587
0.7_0.75	8.0_64.0	1.6	0.7	38	48	106	6	6	0	0.864	0.688	0.727	0.552	0.442	0.864	0.585	0.558
1.0	4.0_64.0	1.6	0.7	57	52	114	9	9	0	0.864	0.687	0.737	0.551	0.523	0.864	0.652	0.477
1.0	8.0_64.0	1.6	0.7	38	33	60	6	6	0	0.864	0.645	0.715	0.509	0.535	0.864	0.661	0.465
0.1_0.125	4.0_64.0	1.6	0.8	38	7277	7859	28	25	3	0.576	0.519	0.519	0.095	0.005	0.576	0.01	0.995
0.1_0.125	8.0_64.0	1.6	0.8	29	4632	5129	15	13	2	0.659	0.525	0.526	0.184	0.006	0.659	0.012	0.994
0.25	4.0_64.0	1.6	0.8	47	1431	3128	19	19	0	0.712	0.686	0.686	0.398	0.032	0.712	0.061	0.968
0.25	8.0_64.0	1.6	0.8	35	800	1812	9	9	0	0.795	0.694	0.695	0.489	0.042	0.795	0.08	0.958
0.375	4.0_64.0	1.6	0.8	42	128	310	12	11	1	0.778	0.708	0.715	0.486	0.247	0.778	0.375	0.753
0.375	8.0_64.0	1.6	0.8	29	55	192	7	7	0	0.806	0.777	0.781	0.583	0.345	0.806	0.483	0.655
0.5	4.0_64.0	1.6	0.8	66	244	578	12	11	1	0.846	0.703	0.716	0.549	0.213	0.846	0.34	0.787
0.5	8.0_64.0	1.6	0.8	46	123	324	6	6	0	0.885	0.725	0.741	0.61	0.272	0.885	0.416	0.728
0.7_0.75	4.0_64.0	1.6	0.8	57	76	208	9	9	0	0.864	0.732	0.757	0.596	0.429	0.864	0.573	0.571
0.7_0.75	8.0_64.0	1.6	0.8	38	45	109	6	6	0	0.864	0.708	0.742	0.572	0.458	0.864	0.599	0.542
1.0	4.0_64.0	1.6	0.8	57	52	114	9	9	0	0.864	0.687	0.737	0.551	0.523	0.864	0.652	0.477
1.0	8.0_64.0	1.6	0.8	38	33	60	6	6	0	0.864	0.645	0.715	0.509	0.535	0.864	0.661	0.465
0.1_0.125	4.0_64.0	1.6	0.9	38	7039	8097	28	25	3	0.576	0.535	0.535	0.111	0.005	0.576	0.01	0.995
0.1_0.125	8.0_64.0	1.6	0.9	29	4479	5282	15	13	2	0.659	0.541	0.542	0.2	0.006	0.659	0.012	0.994
0.25	4.0_64.0	1.6	0.9	47	1342	3217	19	19	0	0.712	0.706	0.706	0.418	0.034	0.712	0.065	0.966
0.25	8.0_64.0	1.6	0.9	35	737	1875	9	9	0	0.795	0.718	0.719	0.513	0.045	0.795	0.085	0.955
0.375	4.0_64.0	1.6	0.9	42	113	325	12	11	1	0.778	0.742	0.746	0.52	0.271	0.778	0.402	0.729
0.375	8.0_64.0	1.6	0.9	29	45	202	7	7	0	0.806	0.818	0.816	0.624	0.392	0.806	0.527	0.608
0.5	4.0_64.0	1.6	0.9	66	222	600	12	11	1	0.846	0.73	0.74	0.576	0.229	0.846	0.36	0.771
0.5	8.0_64.0	1.6	0.9	46	112	335	6	6	0	0.885	0.749	0.764	0.634	0.291	0.885	0.438	0.709
0.7_0.75	4.0_64.0	1.6	0.9	57	65	219	9	9	0	0.864	0.771	0.789	0.635	0.467	0.864	0.606	0.533
0.7_0.75	8.0_64.0	1.6	0.9	38	37	117	6	6	0	0.864	0.76	0.783	0.624	0.507	0.864	0.639	0.493
1.0	4.0_64.0	1.6	0.9	57	51	115	9	9	0	0.864	0.693	0.741	0.557	0.528	0.864	0.655	0.472
1.0	8.0_64.0	1.6	0.9	38	32	61	6	6	0	0.864	0.656	0.723	0.52	0.543	0.864	0.667	0.457
0.1_0.125	4.0_64.0	1.6	1.0	38	6783	8353	28	25	3	0.576	0.552	0.552	0.128	0.006	0.576	0.012	0.994
0.1_0.125	8.0_64.0	1.6	1.0	29	4323	5438	15	13	2	0.659	0.557	0.558	0.216	0.007	0.659	0.014	0.993
0.25	4.0_64.0	1.6	1.0	46	1246	3313	20	19	1	0.697	0.727	0.726	0.424	0.036	0.697	0.068	0.964
0.25	8.0_64.0	1.6	1.0	35	682	1930	9	9	0	0.795	0.739	0.74	0.534	0.049	0.795	0.092	0.951
0.375	4.0_64.0	1.6	1.0	42	99	339	12	11	1	0.778	0.774	0.774	0.552	0.298	0.778	0.431	0.702
0.375	8.0_64.0	1.6	1.0	29	37	210	7	7	0	0.806	0.85	0.845	0.656	0.439	0.806	0.568	0.561
0.5	4.0_64.0	1.6	1.0	66	189	633	12	11	1	0.846	0.77	0.777	0.616	0.259	0.846	0.397	0.741
0.5	8.0_64.0	1.6	1.0	46	93	354	6	6	0	0.885	0.792	0.802	0.677	0.331	0.885	0.482	0.669
0.7_0.75	4.0_64.0	1.6	1.0	57	56	228	9	9	0	0.864	0.803	0.814	0.667	0.504	0.864	0.637	0.496
0.7_0.75	8.0_64.0	1.6	1.0	38	34	120	6	6	0	0.864	0.779	0.798	0.643	0.528	0.864	0.655	0.472
1.0	4.0_64.0	1.6	1.0	57	43	123	9	9	0	0.864	0.741	0.776	0.605	0.57	0.864	0.687	0.43
1.0	8.0_64.0	1.6	1.0	38	26	67	6	6	0	0.864	0.72	0.766	0.584	0.594	0.864	0.704	0.406
0.1_0.125	4.0_64.0	1.7	0.0	41	10052	5084	25	25	0	0.621	0.336	0.337	-0.043	0.004	0.621	0.008	0.996
0.1_0.125	8.0_64.0	1.7	0.0	31	6434	3327	13	13	0	0.705	0.341	0.342	0.046	0.005	0.705	0.01	0.995
0.25	4.0_64.0	1.7	0.0	47	2474	2085	19	19	0	0.712	0.457	0.461	0.169	0.019	0.712	0.037	0.981
0.25	8.0_64.0	1.7	0.0	35	1473	1139	9	9	0	0.795	0.436	0.442	0.231	0.023	0.795	0.045	0.977
0.375	4.0_64.0	1.7	0.0	42	272	166	12	11	1	0.778	0.379	0.423	0.157	0.134	0.778	0.229	0.866
0.375	8.0_64.0	1.7	0.0	29	136	111	7	7	0	0.806	0.449	0.495	0.255	0.176	0.806	0.289	0.824
0.5	4.0_64.0	1.7	0.0	67	500	322	11	11	0	0.859	0.392	0.432	0.251	0.118	0.859	0.207	0.882
0.5	8.0_64.0	1.7	0.0	46	247	200	6	6	0	0.885	0.447	0.493	0.332	0.157	0.885	0.267	0.843
0.7_0.75	4.0_64.0	1.7	0.0	57	178	106	9	9	0	0.864	0.373	0.466	0.237	0.243	0.864	0.379	0.757
0.7_0.75	8.0_64.0	1.7	0.0	38	88	66	6	6	0	0.864	0.429	0.525	0.293	0.302	0.864	0.448	0.698
1.0	4.0_64.0	1.7	0.0	57	102	64	9	9	0	0.864	0.386	0.522	0.25	0.358	0.864	0.506	0.642
1.0	8.0_64.0	1.7	0.0	38	57	36	6	6	0	0.864	0.387	0.54	0.251	0.4	0.864	0.547	0.6
0.1_0.125	4.0_64.0	1.7	0.1	41	9807	5329	25	25	0	0.621	0.352	0.353	-0.027	0.004	0.621	0.008	0.996
0.1_0.125	8.0_64.0	1.7	0.1	31	6283	3478	13	13	0	0.705	0.356	0.358	0.061	0.005	0.705	0.01	0.995
0.25	4.0_64.0	1.7	0.1	47	2395	2164	19	19	0	0.712	0.475	0.478	0.187	0.019	0.712	0.037	0.981
0.25	8.0_64.0	1.7	0.1	35	1427	1185	9	9	0	0.795	0.454	0.459	0.249	0.024	0.795	0.047	0.976
0.375	4.0_64.0	1.7	0.1	42	263	175	12	11	1	0.778	0.4	0.441	0.178	0.138	0.778	0.234	0.862
0.375	8.0_64.0	1.7	0.1	29	129	118	7	7	0	0.806	0.478	0.519	0.284	0.184	0.806	0.3	0.816
0.5	4.0_64.0	1.7	0.1	67	482	340	11	11	0	0.859	0.414	0.452	0.273	0.122	0.859	0.214	0.878
0.5	8.0_64.0	1.7	0.1	46	242	205	6	6	0	0.885	0.459	0.503	0.344	0.16	0.885	0.271	0.84
0.7_0.75	4.0_64.0	1.7	0.1	57	175	109	9	9	0	0.864	0.384	0.474	0.248	0.246	0.864	0.383	0.754
0.7_0.75	8.0_64.0	1.7	0.1	38	88	66	6	6	0	0.864	0.429	0.525	0.293	0.302	0.864	0.448	0.698
1.0	4.0_64.0	1.7	0.1	57	99	67	9	9	0	0.864	0.404	0.534	0.268	0.365	0.864	0.513	0.635
1.0	8.0_64.0	1.7	0.1	38	57	36	6	6	0	0.864	0.387	0.54	0.251	0.4	0.864	0.547	0.6
0.1_0.125	4.0_64.0	1.7	0.2	41	9623	5513	25	25	0	0.621	0.364	0.365	-0.015	0.004	0.621	0.008	0.996
0.1_0.125	8.0_64.0	1.7	0.2	31	6171	3590	13	13	0	0.705	0.368	0.369	0.073	0.005	0.705	0.01	0.995
0.25	4.0_64.0	1.7	0.2	47	2316	2243	19	19	0	0.712	0.492	0.495	0.204	0.02	0.712	0.039	0.98
0.25	8.0_64.0	1.7	0.2	35	1367	1245	9	9	0	0.795	0.477	0.482	0.272	0.025	0.795	0.048	0.975
0.375	4.0_64.0	1.7	0.2	42	256	182	12	11	1	0.778	0.416	0.455	0.194	0.141	0.778	0.239	0.859
0.375	8.0_64.0	1.7	0.2	29	125	122	7	7	0	0.806	0.494	0.534	0.3	0.188	0.806	0.305	0.812
0.5	4.0_64.0	1.7	0.2	67	467	355	11	11	0	0.859	0.432	0.469	0.291	0.125	0.859	0.218	0.875
0.5	8.0_64.0	1.7	0.2	46	236	211	6	6	0	0.885	0.472	0.515	0.357	0.163	0.885	0.275	0.837
0.7_0.75	4.0_64.0	1.7	0.2	57	162	122	9	9	0	0.864	0.43	0.511	0.294	0.26	0.864	0.4	0.74
0.7_0.75	8.0_64.0	1.7	0.2	38	85	69	6	6	0	0.864	0.448	0.54	0.312	0.309	0.864	0.455	0.691
1.0	4.0_64.0	1.7	0.2	57	97	69	9	9	0	0.864	0.416	0.543	0.28	0.37	0.864	0.518	0.63
1.0	8.0_64.0	1.7	0.2	38	56	37	6	6	0	0.864	0.398	0.547	0.262	0.404	0.864	0.551	0.596
0.1_0.125	4.0_64.0	1.7	0.3	41	9437	5699	25	25	0	0.621	0.377	0.378	-0.002	0.004	0.621	0.008	0.996
0.1_0.125	8.0_64.0	1.7	0.3	31	6052	3709	13	13	0	0.705	0.38	0.381	0.085	0.005	0.705	0.01	0.995
0.25	4.0_64.0	1.7	0.3	47	2224	2335	19	19	0	0.712	0.512	0.515	0.224	0.021	0.712	0.041	0.979
0.25	8.0_64.0	1.7	0.3	35	1312	1300	9	9	0	0.795	0.498	0.503	0.293	0.026	0.795	0.05	0.974
0.375	4.0_64.0	1.7	0.3	42	246	192	12	11	1	0.778	0.438	0.476	0.216	0.146	0.778	0.246	0.854
0.375	8.0_64.0	1.7	0.3	29	121	126	7	7	0	0.806	0.51	0.548	0.316	0.193	0.806	0.311	0.807
0.5	4.0_64.0	1.7	0.3	67	451	371	11	11	0	0.859	0.451	0.487	0.31	0.129	0.859	0.224	0.871
0.5	8.0_64.0	1.7	0.3	46	233	214	6	6	0	0.885	0.479	0.521	0.364	0.165	0.885	0.278	0.835
0.7_0.75	4.0_64.0	1.7	0.3	57	157	127	9	9	0	0.864	0.447	0.526	0.311	0.266	0.864	0.407	0.734
0.7_0.75	8.0_64.0	1.7	0.3	38	85	69	6	6	0	0.864	0.448	0.54	0.312	0.309	0.864	0.455	0.691
1.0	4.0_64.0	1.7	0.3	57	93	73	9	9	0	0.864	0.44	0.56	0.304	0.38	0.864	0.528	0.62
1.0	8.0_64.0	1.7	0.3	38	52	41	6	6	0	0.864	0.441	0.577	0.305	0.422	0.864	0.567	0.578
0.1_0.125	4.0_64.0	1.7	0.4	41	9195	5941	25	25	0	0.621	0.393	0.394	0.014	0.004	0.621	0.008	0.996
0.1_0.125	8.0_64.0	1.7	0.4	31	5898	3863	13	13	0	0.705	0.396	0.397	0.101	0.005	0.705	0.01	0.995
0.25	4.0_64.0	1.7	0.4	47	2138	2421	19	19	0	0.712	0.531	0.534	0.243	0.022	0.712	0.043	0.978
0.25	8.0_64.0	1.7	0.4	35	1256	1356	9	9	0	0.795	0.519	0.524	0.314	0.027	0.795	0.052	0.973
0.375	4.0_64.0	1.7	0.4	42	227	211	12	11	1	0.778	0.482	0.514	0.26	0.156	0.778	0.26	0.844
0.375	8.0_64.0	1.7	0.4	29	111	136	7	7	0	0.806	0.551	0.583	0.357	0.207	0.806	0.329	0.793
0.5	4.0_64.0	1.7	0.4	67	422	400	11	11	0	0.859	0.487	0.519	0.346	0.137	0.859	0.236	0.863
0.5	8.0_64.0	1.7	0.4	46	222	225	6	6	0	0.885	0.503	0.543	0.388	0.172	0.885	0.288	0.828
0.7_0.75	4.0_64.0	1.7	0.4	57	147	137	9	9	0	0.864	0.482	0.554	0.346	0.279	0.864	0.422	0.721
0.7_0.75	8.0_64.0	1.7	0.4	38	80	74	6	6	0	0.864	0.481	0.566	0.345	0.322	0.864	0.469	0.678
1.0	4.0_64.0	1.7	0.4	57	87	79	9	9	0	0.864	0.476	0.586	0.34	0.396	0.864	0.543	0.604
1.0	8.0_64.0	1.7	0.4	38	48	45	6	6	0	0.864	0.484	0.606	0.348	0.442	0.864	0.585	0.558
0.1_0.125	4.0_64.0	1.7	0.5	41	8928	6208	25	25	0	0.621	0.41	0.411	0.031	0.005	0.621	0.01	0.995
0.1_0.125	8.0_64.0	1.7	0.5	31	5717	4044	13	13	0	0.705	0.414	0.416	0.119	0.005	0.705	0.01	0.995
0.25	4.0_64.0	1.7	0.5	47	2011	2548	19	19	0	0.712	0.559	0.561	0.271	0.023	0.712	0.045	0.977
0.25	8.0_64.0	1.7	0.5	35	1181	1431	9	9	0	0.795	0.548	0.552	0.343	0.029	0.795	0.056	0.971
0.375	4.0_64.0	1.7	0.5	42	213	225	12	11	1	0.778	0.514	0.543	0.292	0.165	0.778	0.272	0.835
0.375	8.0_64.0	1.7	0.5	29	102	145	7	7	0	0.806	0.587	0.615	0.393	0.221	0.806	0.347	0.779
0.5	4.0_64.0	1.7	0.5	67	392	430	11	11	0	0.859	0.523	0.552	0.382	0.146	0.859	0.25	0.854
0.5	8.0_64.0	1.7	0.5	46	211	236	6	6	0	0.885	0.528	0.565	0.413	0.179	0.885	0.298	0.821
